date,open,high,low,close,volume
2024-04-01,1.2634999752044678,1.26419997215271,1.2541999816894531,1.2541999816894531,313
2024-04-02,1.254699945449829,1.2577999830245972,1.25409996509552,1.2569999694824219,695
2024-04-03,1.2580000162124634,1.2654999494552612,1.256500005722046,1.2654999494552612,359
2024-04-04,1.2654999494552612,1.2682000398635864,1.263800024986267,1.2651000022888184,293
2024-04-05,1.2646000385284424,1.264799952507019,1.2575000524520874,1.2634999752044678,418
2024-04-08,1.2634999752044678,1.2663999795913696,1.2616000175476074,1.2657999992370605,309
2024-04-09,1.2655999660491943,1.2706999778747559,1.2652000188827515,1.2670999765396118,474
2024-04-10,1.267699956893921,1.2705999612808228,1.2522000074386597,1.2526999711990356,450
2024-04-11,1.2532999515533447,1.257099986076355,1.251099944114685,1.2553000450134277,238
2024-04-12,1.2555999755859375,1.2556999921798706,1.243299961090088,1.2444000244140625,250
2024-04-15,1.2470999956130981,1.2488000392913818,1.2460999488830566,1.2460999488830566,319
2024-04-16,1.2450000047683716,1.246500015258789,1.2407000064849854,1.24399995803833,303
2024-04-17,1.2430000305175781,1.2482999563217163,1.2419999837875366,1.245300054550171,509
2024-04-18,1.2450000047683716,1.2482999563217163,1.2436000108718872,1.2436000108718872,135
2024-04-19,1.2431000471115112,1.246399998664856,1.236899971961975,1.236899971961975,313
2024-04-22,1.236899971961975,1.238700032234192,1.2309000492095947,1.2359999418258667,105
2024-04-23,1.2351000308990479,1.24590003490448,1.2340999841690063,1.2451000213623047,757
2024-04-24,1.2450000047683716,1.246999979019165,1.242799997329712,1.2454999685287476,445
2024-04-25,1.2460999488830566,1.2524000406265259,1.24590003490448,1.251099944114685,316
2024-04-26,1.2503000497817993,1.2539000511169434,1.2451000213623047,1.2503000497817993,316
2024-04-29,1.2496000528335571,1.256500005722046,1.249500036239624,1.256500005722046,114
2024-04-30,1.2562999725341797,1.2562999725341797,1.25,1.250499963760376,171
2024-05-01,1.249500036239624,1.2549999952316284,1.2467999458312988,1.254699945449829,236
2024-05-02,1.2532999515533447,1.253999948501587,1.2477999925613403,1.253999948501587,58
2024-05-03,1.2555999755859375,1.2634999752044678,1.2532000541687012,1.2552000284194946,574
2024-05-06,1.2580000162124634,1.2580000162124634,1.2569999694824219,1.2569999694824219,2
2024-05-07,1.2558000087738037,1.2559000253677368,1.2503999471664429,1.2508000135421753,44
2024-05-08,1.2506999969482422,1.2506999969482422,1.2480000257492065,1.2496000528335571,178
2024-05-09,1.2490999698638916,1.2525999546051025,1.2450000047683716,1.2524000406265259,1247
2024-05-10,1.2517999410629272,1.2541999816894531,1.250499963760376,1.2526999711990356,416
